,Date,Day,Month,Year,Hour,Name,Emojis,Temp_mean,Rain
0,2021-12-01,1,12,2021,14,Bego,🌸,5.1,False
1,2021-01-14,14,1,2021,10,Bego,☀,4.5,False
2,2021-01-14,14,1,2021,10,Bego,☀,4.6,False
3,2021-01-14,14,1,2021,10,Bego,☀,5.3,False
4,2021-01-14,14,1,2021,10,Bego,☀,5.0,False
5,2021-01-14,14,1,2021,10,Bego,☀,6.2,True
6,2021-01-14,14,1,2021,10,Bego,☀,7.3,True
7,2021-01-14,14,1,2021,10,Bego,☀,6.4,True
8,2021-01-14,14,1,2021,10,Bego,☀,4.9,False
9,2021-01-14,14,1,2021,10,Bego,☀,7.0,False
10,2021-01-14,14,1,2021,10,Bego,☀,7.0,False
11,2021-01-14,14,1,2021,10,Bego,☀,7.8,False
12,2021-01-14,14,1,2021,10,Bego,☀,8.0,False
13,2021-01-14,14,1,2021,10,Bego,☀,9.2,False
14,2021-01-14,14,1,2021,10,Bego,☀,9.7,True
15,2021-01-14,14,1,2021,10,Bego,☀,8.6,False
16,2021-01-14,14,1,2021,10,Bego,☀,4.5,False
17,2021-01-14,14,1,2021,10,Bego,☀,4.6,False
18,2021-01-14,14,1,2021,10,Bego,☀,5.3,False
19,2021-01-14,14,1,2021,10,Bego,☀,5.0,False
20,2021-01-14,14,1,2021,10,Bego,☀,6.2,True
21,2021-01-14,14,1,2021,10,Bego,☀,7.3,True
22,2021-01-14,14,1,2021,10,Bego,☀,6.4,True
23,2021-01-14,14,1,2021,10,Bego,☀,4.9,False
24,2021-01-14,14,1,2021,10,Bego,☀,7.0,False
25,2021-01-14,14,1,2021,10,Bego,☀,7.0,False
26,2021-01-14,14,1,2021,10,Bego,☀,7.8,False
27,2021-01-14,14,1,2021,10,Bego,☀,8.0,False
28,2021-01-14,14,1,2021,10,Bego,☀,9.2,False
29,2021-01-14,14,1,2021,10,Bego,☀,9.7,True
30,2021-01-14,14,1,2021,10,Bego,☀,8.6,False
31,2021-01-14,14,1,2021,10,Bego,☀,4.5,False
32,2021-01-14,14,1,2021,10,Bego,☀,4.6,False
33,2021-01-14,14,1,2021,10,Bego,☀,5.3,False
34,2021-01-14,14,1,2021,10,Bego,☀,5.0,False
35,2021-01-14,14,1,2021,10,Bego,☀,6.2,True
36,2021-01-14,14,1,2021,10,Bego,☀,7.3,True
37,2021-01-14,14,1,2021,10,Bego,☀,6.4,True
38,2021-01-14,14,1,2021,10,Bego,☀,4.9,False
39,2021-01-14,14,1,2021,10,Bego,☀,7.0,False
40,2021-01-14,14,1,2021,10,Bego,☀,7.0,False
41,2021-01-14,14,1,2021,10,Bego,☀,7.8,False
42,2021-01-14,14,1,2021,10,Bego,☀,8.0,False
43,2021-01-14,14,1,2021,10,Bego,☀,9.2,False
44,2021-01-14,14,1,2021,10,Bego,☀,9.7,True
45,2021-01-14,14,1,2021,10,Bego,☀,8.6,False
46,2021-01-14,14,1,2021,10,Bego,☀,4.5,False
47,2021-01-14,14,1,2021,10,Bego,☀,4.6,False
48,2021-01-14,14,1,2021,10,Bego,☀,5.3,False
49,2021-01-14,14,1,2021,10,Bego,☀,5.0,False
50,2021-01-14,14,1,2021,10,Bego,☀,6.2,True
51,2021-01-14,14,1,2021,10,Bego,☀,7.3,True
52,2021-01-14,14,1,2021,10,Bego,☀,6.4,True
53,2021-01-14,14,1,2021,10,Bego,☀,4.9,False
54,2021-01-14,14,1,2021,10,Bego,☀,7.0,False
55,2021-01-14,14,1,2021,10,Bego,☀,7.0,False
56,2021-01-14,14,1,2021,10,Bego,☀,7.8,False
57,2021-01-14,14,1,2021,10,Bego,☀,8.0,False
58,2021-01-14,14,1,2021,10,Bego,☀,9.2,False
59,2021-01-14,14,1,2021,10,Bego,☀,9.7,True
60,2021-01-14,14,1,2021,10,Bego,☀,8.6,False
61,2021-01-14,14,1,2021,10,Bego,☀,4.5,False
62,2021-01-14,14,1,2021,10,Bego,☀,4.6,False
63,2021-01-14,14,1,2021,10,Bego,☀,5.3,False
64,2021-01-14,14,1,2021,10,Bego,☀,5.0,False
65,2021-01-14,14,1,2021,10,Bego,☀,6.2,True
66,2021-01-14,14,1,2021,10,Bego,☀,7.3,True
67,2021-01-14,14,1,2021,10,Bego,☀,6.4,True
68,2021-01-14,14,1,2021,10,Bego,☀,4.9,False
69,2021-01-14,14,1,2021,10,Bego,☀,7.0,False
70,2021-01-14,14,1,2021,10,Bego,☀,7.0,False
71,2021-01-14,14,1,2021,10,Bego,☀,7.8,False
72,2021-01-14,14,1,2021,10,Bego,☀,8.0,False
73,2021-01-14,14,1,2021,10,Bego,☀,9.2,False
74,2021-01-14,14,1,2021,10,Bego,☀,9.7,True
75,2021-01-14,14,1,2021,10,Bego,☀,8.6,False
76,2021-01-14,14,1,2021,10,Bego,☀,4.5,False
77,2021-01-14,14,1,2021,10,Bego,☀,4.6,False
78,2021-01-14,14,1,2021,10,Bego,☀,5.3,False
79,2021-01-14,14,1,2021,10,Bego,☀,5.0,False
80,2021-01-14,14,1,2021,10,Bego,☀,6.2,True
81,2021-01-14,14,1,2021,10,Bego,☀,7.3,True
82,2021-01-14,14,1,2021,10,Bego,☀,6.4,True
83,2021-01-14,14,1,2021,10,Bego,☀,4.9,False
84,2021-01-14,14,1,2021,10,Bego,☀,7.0,False
85,2021-01-14,14,1,2021,10,Bego,☀,7.0,False
86,2021-01-14,14,1,2021,10,Bego,☀,7.8,False
87,2021-01-14,14,1,2021,10,Bego,☀,8.0,False
88,2021-01-14,14,1,2021,10,Bego,☀,9.2,False
89,2021-01-14,14,1,2021,10,Bego,☀,9.7,True
90,2021-01-14,14,1,2021,10,Bego,☀,8.6,False
91,2021-01-14,14,1,2021,10,Bego,❤,4.5,False
92,2021-01-14,14,1,2021,10,Bego,❤,4.6,False
93,2021-01-14,14,1,2021,10,Bego,❤,5.3,False
94,2021-01-14,14,1,2021,10,Bego,❤,5.0,False
95,2021-01-14,14,1,2021,10,Bego,❤,6.2,True
96,2021-01-14,14,1,2021,10,Bego,❤,7.3,True
97,2021-01-14,14,1,2021,10,Bego,❤,6.4,True
98,2021-01-14,14,1,2021,10,Bego,❤,4.9,False
99,2021-01-14,14,1,2021,10,Bego,❤,7.0,False
100,2021-01-14,14,1,2021,10,Bego,❤,7.0,False
101,2021-01-14,14,1,2021,10,Bego,❤,7.8,False
102,2021-01-14,14,1,2021,10,Bego,❤,8.0,False
103,2021-01-14,14,1,2021,10,Bego,❤,9.2,False
104,2021-01-14,14,1,2021,10,Bego,❤,9.7,True
105,2021-01-14,14,1,2021,10,Bego,❤,8.6,False
106,2021-01-14,14,1,2021,11,Ju,💓,4.5,False
107,2021-01-14,14,1,2021,11,Ju,💓,4.6,False
108,2021-01-14,14,1,2021,11,Ju,💓,5.3,False
109,2021-01-14,14,1,2021,11,Ju,💓,5.0,False
110,2021-01-14,14,1,2021,11,Ju,💓,6.2,True
111,2021-01-14,14,1,2021,11,Ju,💓,7.3,True
112,2021-01-14,14,1,2021,11,Ju,💓,6.4,True
113,2021-01-14,14,1,2021,11,Ju,💓,4.9,False
114,2021-01-14,14,1,2021,11,Ju,💓,7.0,False
115,2021-01-14,14,1,2021,11,Ju,💓,7.0,False
116,2021-01-14,14,1,2021,11,Ju,💓,7.8,False
117,2021-01-14,14,1,2021,11,Ju,💓,8.0,False
118,2021-01-14,14,1,2021,11,Ju,💓,9.2,False
119,2021-01-14,14,1,2021,11,Ju,💓,9.7,True
120,2021-01-14,14,1,2021,11,Ju,💓,8.6,False
121,2021-01-14,14,1,2021,11,Ju,💓,4.5,False
122,2021-01-14,14,1,2021,11,Ju,💓,4.6,False
123,2021-01-14,14,1,2021,11,Ju,💓,5.3,False
124,2021-01-14,14,1,2021,11,Ju,💓,5.0,False
