Date,Temp_mean,Rain
2021-12-01,9.4,0.5
2021-12-02,10.3,0.7
2021-12-03,8.7,0.0
2021-12-04,11.1,0.0
2021-12-05,10.1,0.0
2021-12-06,10.0,0.0
2021-12-07,10.6,0.0
2021-12-08,11.8,0.0
2021-12-09,8.7,0.0
2021-12-10,12.7,2.5
2021-12-11,10.6,1.6
2021-12-12,11.6,0.0
2021-12-13,10.2,0.0
2021-12-14,10.3,0.0
2021-12-15,10.1,0.0
2021-12-16,9.1,0.0
2021-12-17,9.3,0.0
2021-12-18,9.8,0.0
2021-12-19,8.9,0.0
2021-12-20,7.2,0.0
2021-12-21,8.6,0.0
2021-12-22,9.8,0.0
2021-12-23,12.1,0.0
2021-12-24,12.1,2.5
2021-12-25,13.1,0.8
2021-12-26,11.8,0.0
2021-12-27,14.2,0.0
2021-12-28,15.0,0.3
2021-12-29,14.4,0.0
2021-12-30,13.1,0.0
2021-12-31,11.9,0.0
2022-01-01,11.2,0.0
2022-01-02,11.2,0.0
2022-01-03,11.3,0.0
2022-01-04,12.4,0.0
2022-01-05,10.8,11.0
2022-01-06,7.4,0.0
2022-01-07,6.7,0.0
2022-01-08,8.7,0.0
2022-01-09,10.9,0.2
2022-01-10,10.3,10.6
2022-01-11,10.5,0.9
2022-01-12,9.6,0.7
2022-01-13,7.4,0.0
2022-01-14,7.4,0.0
2022-01-15,6.9,0.0
2022-01-16,7.3,0.0
2022-01-17,7.3,0.0
2022-01-18,7.2,0.0
2022-01-19,7.7,0.0
2022-01-20,8.7,0.0
2022-01-21,8.1,1.5
2022-01-22,7.4,0.0
2022-01-23,7.0,0.0
2022-01-24,7.9,0.0
2022-01-25,8.2,0.0
2022-01-26,8.4,0.0
2022-01-27,8.7,0.0
2022-01-28,9.3,0.0
2022-01-29,9.8,0.0
2022-01-30,9.6,0.0
2022-01-31,9.8,0.0
2022-02-01,10.4,0.2
2022-02-02,11.2,0.0
2022-02-03,10.2,0.0
2022-02-04,10.7,0.0
2022-02-05,11.8,2.2
2022-02-06,11.0,0.3
2022-02-07,10.1,0.0
2022-02-08,11.0,0.0
2022-02-09,10.2,0.0
2022-02-10,9.2,0.0
2022-02-11,10.1,0.0
2022-02-12,10.7,0.8
2022-02-13,11.8,2.3
2022-02-14,12.9,0.8
2022-02-15,10.7,0.0
2022-02-16,11.6,0.0
2022-02-17,13.3,0.0
2022-02-18,13.2,0.0
2022-02-19,11.5,2.7
2022-02-20,11.3,0.5
2022-02-21,12.4,0.0
2022-02-22,11.9,0.0
2022-02-23,11.4,0.0
2022-02-24,12.1,0.0
2022-02-25,12.0,0.1
2022-02-26,10.8,1.7
2022-02-27,11.0,0.0
2022-02-28,11.1,2.4
2022-03-01,11.2,0.0
2022-03-02,11.3,1.7
2022-03-03,11.9,0.8
2022-03-04,12.2,2.3
2022-03-05,11.4,3.0
2022-03-06,10.5,1.9
2022-03-07,10.6,0.5
2022-03-08,10.6,2.9
2022-03-09,10.8,3.6
2022-03-10,11.5,1.8
2022-03-11,12.0,4.0
2022-03-12,11.9,25.9
2022-03-13,12.1,1.6
2022-03-14,12.9,0.6
2022-03-15,14.6,0.3
2022-03-16,14.3,0.0
2022-03-17,14.5,0.1
2022-03-18,14.1,1.9
2022-03-19,12.8,1.0
2022-03-20,12.5,3.6
2022-03-21,12.8,3.2
2022-03-22,11.8,1.3
2022-03-23,11.3,0.3
2022-03-24,11.8,0.8
2022-03-25,13.3,0.5
2022-03-26,12.6,2.7
2022-03-27,14.6,0.1
2022-03-28,13.1,0.0
2022-03-29,12.7,2.9
2022-03-30,13.0,11.2
2022-03-31,12.5,21.2
2022-04-01,10.7,0.9
2022-04-02,9.2,0.1
2022-04-03,7.0,1.9
2022-04-04,9.1,0.0
2022-04-05,10.6,0.0
2022-04-06,12.8,0.0
2022-04-07,14.7,0.0
2022-04-08,16.6,0.0
2022-04-09,14.4,0.4
2022-04-10,12.8,0.0
2022-04-11,13.9,0.0
2022-04-12,14.8,1.2
2022-04-13,14.1,13.7
2022-04-14,16.6,0.4
2022-04-15,17.2,0.0
2022-04-16,17.9,0.0
2022-04-17,16.6,0.0
2022-04-18,15.5,0.0
2022-04-19,14.6,0.1
2022-04-20,14.1,20.6
2022-04-21,13.3,30.6
2022-04-22,14.4,0.3
2022-04-23,13.8,6.3
2022-04-24,15.7,1.0
2022-04-25,15.3,0.0
2022-04-26,15.7,0.0
2022-04-27,15.7,0.1
2022-04-28,17.1,0.0
2022-04-29,17.6,0.2
2022-04-30,16.9,0.7
2022-05-01,16.7,0.3
2022-05-02,16.9,0.5
2022-05-03,16.1,0.6
2022-05-04,16.1,0.1
2022-05-05,16.5,3.1
2022-05-06,16.9,0.2
2022-05-07,18.3,0.0
2022-05-08,17.4,1.2
2022-05-09,17.8,0.1
2022-05-10,18.5,0.0
2022-05-11,18.6,0.0
2022-05-12,18.6,0.0
2022-05-13,18.1,0.0
2022-05-14,19.8,0.0
2022-05-15,20.6,0.0
2022-05-16,20.9,0.0
2022-05-17,20.8,0.0
2022-05-18,22.3,0.0
2022-05-19,22.2,0.0
2022-05-20,22.9,0.0
2022-05-21,23.3,0.0
2022-05-22,23.8,0.0
2022-05-23,22.2,0.0
2022-05-24,18.3,24.0
2022-05-25,17.9,11.8
2022-05-26,20.3,0.0
2022-05-27,21.6,0.4
2022-05-28,22.1,0.0
2022-05-29,20.6,0.0
2022-05-30,20.5,0.0
2022-05-31,20.7,0.0
2022-06-01,21.6,0.0
2022-06-02,22.0,0.0
2022-06-03,23.1,0.1
2022-06-04,22.7,0.0
2022-06-05,22.6,0.0
2022-06-06,22.9,0.0
2022-06-07,22.7,0.0
2022-06-08,22.3,2.1
2022-06-09,22.2,0.5
2022-06-10,22.9,0.0
2022-06-11,23.7,0.0
2022-06-12,25.2,0.0
2022-06-13,25.3,0.0
2022-06-14,25.0,0.0
2022-06-15,26.4,0.0
2022-06-16,26.7,0.2
2022-06-17,27.7,0.0
